Interface language	Язык интерфейса	Интерфейс тілі
Every decision has a source.	У каждого вывода есть основание.	Әр қорытындының негізі бар.
Official requirements, transparent reasoning, and clearly marked gaps.	Официальные требования, понятные объяснения и явные пробелы в данных.	Ресми талаптар, түсінікті негіздемелер және анық белгіленген дерек олқылықтары.
A clear boundary between facts and conclusions.	Факты отделены от выводов.	Деректер мен қорытындылар бөлек көрсетілген.
Official facts come from the frozen research and a new source check on 17 September 2026. PathShift compares those facts with your inputs. It does not predict admission. Cost references keep their original year.	Факты взяты из зафиксированного исследования и дополнительной проверки источников от 17 сентября 2026 года. PathShift сопоставляет их с вашим профилем, но не предсказывает зачисление. Для стоимости сохранён исходный год.	Деректер бекітілген зерттеуден және 2026 жылғы 17 қыркүйектегі қосымша тексеруден алынған. PathShift оларды профиліңізбен салыстырады, бірақ оқуға қабылдануды болжамайды. Құн деректерінің бастапқы жылы сақталған.
Official fact	Официальный факт	Ресми дерек
PathShift reasoning	Вывод PathShift	PathShift қорытындысы
evidence records	записей об источниках	дереккөз жазбасы
Better questions. Clearer choices.	Точные вопросы. Понятный выбор.	Нақты сұрақтар. Түсінікті таңдау.
How decisions are made	Как формируются выводы	Қорытындылар қалай жасалады
Requirements	Требования	Талаптар
Timeline	Сроки	Мерзімдер
Fall 2027 total cost	Полная стоимость на осень 2027	2027 жылғы күзге арналған толық құн
Not yet verified	Пока не подтверждено	Әлі расталмаған
Why this result?	Почему такой результат?	Неліктен осындай нәтиже?
What could change this path?	Что может изменить этот вариант?	Бұл нұсқаны не өзгерте алады?
Other conditions may remain.	Другие условия могут оставаться невыполненными.	Басқа шарттар әлі орындалмаған болуы мүмкін.
Removes the remaining direct-route blockers.	Устраняет оставшиеся препятствия прямого поступления.	Тікелей түсу жолындағы қалған кедергілерді жояды.
No additional hard requirement change is needed in the evaluated branches. Review the application checklist.	Проверенные обязательные условия выполнены. Проверьте список документов для подачи.	Тексерілген міндетті шарттар орындалған. Өтінім құжаттарының тізімін тексеріңіз.
Review the unsatisfied and unknown conditions above. No fully verified, feasible unlock has been established yet.	Посмотрите невыполненные и неизвестные условия выше. Полностью подтверждённый выполнимый путь пока не найден.	Жоғарыдағы орындалмаған және белгісіз шарттарды қараңыз. Толық расталған әрі орындалатын жол әлі анықталған жоқ.
Check pathway source	Источник условий маршрута	Осы жол шарттарының дереккөзі
Budget & deadlines	Бюджет и сроки	Бюджет пен мерзімдер
Cost source	Источник стоимости	Құн дереккөзі
Source	Источник	Дереккөз
Time / timezone not verified	Время или часовой пояс не подтверждены	Уақыт немесе уақыт белдеуі расталмаған
Compare this path	Сравнить этот вариант	Осы нұсқаны салыстыру
Remove from shortlist	Убрать из избранного	Таңдалғандардан алып тастау
Save to shortlist	Сохранить в избранное	Таңдалғандарға сақтау
Source proof	Подтверждающий источник	Растайтын дереккөз
Official evidence behind the calculation.	Официальные данные, на которых основан расчёт.	Есептеуге негіз болған ресми деректер.
This is a planning inference.	Это вывод для планирования.	Бұл — жоспарлауға арналған қорытынды.
No complete claim-specific evidence is available for this step. It does not establish an admission fact.	Полного подтверждения для этого шага пока нет. Он не является установленным фактом о поступлении.	Бұл қадам бойынша толық дәлел әлі жоқ. Ол оқуға қабылдау туралы расталған дерек емес.
Your strengths	Ваши сильные стороны	Мықты жақтарыңыз
What needs attention	На что обратить внимание	Неге назар аудару керек
Evidence to clarify	Что нужно уточнить	Нені нақтылау керек
Your results use the values you provided. Update them as you make progress.	Результаты основаны на введённых данных. Обновляйте их по мере продвижения.	Нәтижелер енгізген деректеріңізге негізделген. Ілгерілеген сайын оларды жаңартыңыз.
Aruzhan is a synthetic demo applicant. Scores, dates and readiness declarations are illustrative profile inputs. The demo plans its next result / document completion for 20 November 2026.	Аружан — вымышленный демопрофиль. Баллы, даты и готовность документов заданы для примера. Следующий результат или готовность документов запланированы в демо на 20 ноября 2026 года.	Аружан — ойдан құрастырылған демопрофиль. Балдар, күндер және құжаттардың дайындығы мысал ретінде берілген. Демода келесі нәтиже немесе құжаттардың дайындығы 2026 жылғы 20 қарашаға жоспарланған.
Explore my paths	Посмотреть мои варианты	Нұсқаларымды қарау
Annual cost needs verification.	Годовую стоимость нужно уточнить.	Жылдық құнды нақтылау қажет.
Fall 2027 total cost is not yet verified.	Полная стоимость на осень 2027 пока не подтверждена.	2027 жылғы күзге арналған толық құн әлі расталмаған.
annual estimate	годовая оценка	жылдық болжамды құн
partial cost / subtotal	неполная стоимость	толық емес құн
reference ·	справочные данные ·	анықтамалық деректер ·
Full annual affordability not established	Соответствие полной годовой стоимости бюджету не установлено	Толық жылдық құнның бюджетке сәйкестігі анықталмаған
against this reference	по этим справочным данным	осы анықтамалық деректер бойынша
Published requirements satisfied in evaluated branches.	Проверенные опубликованные требования выполнены.	Тексерілген жарияланған талаптар орындалған.
Why?	Почему?	Неліктен?
Date unverified	Срок не подтверждён	Мерзім расталмаған
Above budget · ref.	Выше бюджета · справочно	Бюджеттен жоғары · анықтамалық
Dated cost available	Есть стоимость за прошлый период	Өткен кезеңнің құны бар
Cost unverified	Стоимость не подтверждена	Құны расталмаған
Explore path	Подробнее	Толығырақ
Changed in scenario	Изменено в сценарии	Сценарийде өзгерді
Skip to main content	Перейти к основному содержимому	Негізгі мазмұнға өту
PathShift opportunity map	Карта возможностей PathShift	PathShift мүмкіндіктер картасы
Main navigation	Основная навигация	Негізгі мәзір
Toggle navigation	Открыть или закрыть меню	Мәзірді ашу немесе жабу
Dismiss notification	Закрыть уведомление	Хабарламаны жабу
Close dialog	Закрыть окно	Терезені жабу
We couldn’t update your paths.	Не удалось обновить варианты.	Нұсқаларды жаңарту мүмкін болмады.
Try again	Повторить	Қайталау
Try a what-if	Попробовать сценарий	Сценарийді сынау
My next step	Следующий шаг	Келесі қадам
Connecting your profile to the evidence…	Сопоставляем профиль с требованиями…	Профиль талаптармен салыстырылуда…
Evaluating requirements, dates and possible next steps.	Проверяем требования, сроки и возможные действия.	Талаптар, мерзімдер және ықтимал қадамдар тексерілуде.
The paths you’re keeping close.	Варианты, которые вы выбрали.	Таңдаған нұсқаларыңыз.
Your saved programs shape your personal roadmap.	Сохранённые программы формируют ваш личный план.	Сақталған бағдарламалар жеке жоспарыңызды қалыптастырады.
Official source	Официальный источник	Ресми дереккөз
Evidence gap	Недостаточно данных	Дерек жеткіліксіз
Scope	Применимость	Қолданылу аясы
Intake / period	Набор или период	Қабылдау кезеңі немесе мерзім
Checked	Дата проверки	Тексерілген күні
Source title	Название источника	Дереккөз атауы
Not recorded in original research	Не указано в исходном исследовании	Бастапқы зерттеуде көрсетілмеген
Open official source	Открыть официальный источник	Ресми дереккөзді ашу
A claim-specific source has not been established.	Источник для этого утверждения пока не установлен.	Осы тұжырымның дереккөзі әлі анықталмаған.
Required	Обязательно	Міндетті
Informational	Для информации	Ақпарат үшін
· PathShift evaluation	· оценка PathShift	· PathShift бағалауы
See	Показать	Көрсету
conditions	условий	шарт
Start with where you are.	Начните с вашего текущего профиля.	Қазіргі жағдайыңыздан бастаңыз.
A few details help us turn requirements into a plan that belongs to you.	Несколько деталей помогут превратить требования в ваш личный план.	Бірнеше мәлімет талаптарды жеке жоспарыңызға айналдыруға көмектеседі.
Your direction	Ваши цели	Мақсаттарыңыз
Academics	Образование	Білім
Tests & language	Экзамены и язык	Емтихандар мен тіл
Budget & readiness	Бюджет и готовность	Бюджет пен дайындық
Enter your name to continue.	Введите имя, чтобы продолжить.	Жалғастыру үшін атыңызды енгізіңіз.
What’s your next chapter?	Какой следующий этап вы планируете?	Келесі қандай кезеңді жоспарлайсыз?
Your name	Ваше имя	Атыңыз
e.g. Aruzhan	Например, Аружан	Мысалы, Аружан
Age	Возраст	Жасыңыз
Citizenship	Гражданство	Азаматтығыңыз
Application type	Тип поступления	Өтінім түрі
International first-year	Иностранный абитуриент, первый курс	Шетелдік талапкер, бірінші курс
Transfer · limited evidence	Перевод · ограниченные данные	Ауысу · дерек шектеулі
Field of study	Направление обучения	Оқу бағыты
Computer Science	Компьютерные науки	Компьютерлік ғылымдар
Medicine	Медицина	Медицина
Business	Бизнес	Бизнес
Start term	Начало обучения	Оқудың басталуы
FALL 2027	ОСЕНЬ 2027	2027 ЖЫЛҒЫ КҮЗ
Fall 2027	Осень 2027	2027 жылғы күз
Fall 2028	Осень 2028	2028 жылғы күз
Fall 2028 · not yet verified	Осень 2028 · пока не подтверждено	2028 жылғы күз · әлі расталмаған
Where would you like to study?	Где вы хотите учиться?	Қай елде оқығыңыз келеді?
US	США	АҚШ
UK	Великобритания	Ұлыбритания
Canada	Канада	Канада
United States	Соединённые Штаты	Америка Құрама Штаттары
United Kingdom	Великобритания	Ұлыбритания
Keep these countries as a hard constraint	Рассматривать только эти страны	Тек осы елдерді қарастыру
Your current interest	Ваши интересы сейчас	Қазіргі қызығушылығыңыз
Exploring CS	Пока изучаю компьютерные науки	Компьютерлік ғылымдармен танысып жүрмін
Artificial intelligence	Искусственный интеллект	Жасанды интеллект
Software engineering	Разработка программного обеспечения	Бағдарламалық жасақтама әзірлеу
Theory & mathematics	Теория и математика	Теория және математика
Human-computer interaction	Взаимодействие человека и компьютера	Адам мен компьютердің өзара әрекеттесуі
We use interests to personalize planning prompts. They never change admission requirements.	Интересы влияют на подсказки в плане, но не меняют требования к поступлению.	Қызығушылықтар жоспардағы ұсыныстарға әсер етеді, бірақ қабылдау талаптарын өзгертпейді.
Your education, in its own terms.	Ваше образование в исходной системе.	Біліміңіз — бастапқы бағалау жүйесінде.
Keep your original grading scale. We never convert grades into an invented GPA.	Сохраните исходную шкалу оценок. Мы не переводим её в выдуманный GPA.	Бастапқы бағалау шкаласын сақтаңыз. Біз оны негізсіз GPA көрсеткішіне айналдырмаймыз.
School curriculum	Школьная программа	Мектеп бағдарламасы
Kazakhstan national	Национальная программа Казахстана	Қазақстанның ұлттық бағдарламасы
US high school	Средняя школа США	АҚШ орта мектебі
Other	Другая	Басқа
School status	Статус обучения	Оқу мәртебесі
Currently studying	Продолжаю учиться	Оқып жүрмін
Completed	Завершено	Аяқталған
Grade / predicted total	Оценка или прогнозируемый балл	Баға немесе болжамды жалпы балл
Original scale	Исходная шкала	Бастапқы шкала
e.g. 42 or 4.8	Например, 42 или 4,8	Мысалы, 42 немесе 4,8
e.g. 45 or 5.0	Например, 45 или 5,0	Мысалы, 45 немесе 5,0
IB total	Общий балл IB	IB жалпы балы
Math Analysis & Approaches HL	Математика IB: Analysis & Approaches HL	IB математикасы: Analysis & Approaches HL
Leave blank if not taken	Оставьте пустым, если не изучали	Оқымаған болсаңыз, бос қалдырыңыз
Number of IB courses	Количество предметов IB	IB пәндерінің саны
Higher Level courses	Предметы углублённого уровня HL	Тереңдетілген HL деңгейіндегі пәндер
IB Diploma completed or on track	Диплом IB получен или ожидается	IB дипломы алынған немесе алу жоспарланған
Taking / completed IB English A at HL or SL	Изучаю или завершил IB English A уровня HL или SL	IB English A пәнін HL не SL деңгейінде оқып жүрмін немесе аяқтадым
Taking / completed senior academic English	Изучаю или завершил академический английский в старших классах	Жоғары сыныптағы академиялық ағылшын тілін оқып жүрмін немесе аяқтадым
We can assess supported test requirements. Academic equivalency for this curriculum still needs verification.	Мы проверим поддерживаемые экзаменационные требования. Соответствие этой школьной программы требованиям вуза нужно уточнить.	Қолдау көрсетілетін емтихан талаптарын тексере аламыз. Бұл мектеп бағдарламасының ЖОО талаптарына сәйкестігін нақтылау қажет.
Let’s look at your test results.	Укажите результаты экзаменов.	Емтихан нәтижелерін көрсетіңіз.
IELTS Academic status	Статус IELTS Academic	IELTS Academic мәртебесі
IELTS test date	Дата сдачи IELTS	IELTS тапсырған күн
Not taken	Не сдавал(а)	Тапсырмадым
Planned	Запланировано	Жоспарланған
Overall and individual bands are checked separately. Planned scores do not count as achieved results.	Общий балл и компоненты проверяются отдельно. Запланированные результаты не считаются полученными.	Жалпы балл мен бөлімдер бөлек тексеріледі. Жоспарланған балдар алынған нәтиже болып саналмайды.
status	статус	мәртебесі
score	балл	балы
test date	дата экзамена	емтихан күні
Expected arrival date for your next result / documents	Ожидаемая дата получения результата или готовности документов	Келесі нәтиже немесе құжаттардың дайын болуы күтілетін күн
Use a date that includes score delivery. Unknown timing stays unconfirmed. IELTS is the currently supported numeric English test in this workspace.	Учитывайте время доставки результатов. Неизвестные сроки останутся неподтверждёнными. Сейчас числовая оценка английского поддерживается для IELTS.	Нәтижені жеткізу уақытын ескеріңіз. Белгісіз мерзім расталмаған күйде қалады. Қазір ағылшын тілінен сандық бағалау IELTS үшін қолжетімді.
A plan that respects your budget.	План с учётом вашего бюджета.	Бюджетіңізді ескеретін жоспар.
Your maximum annual budget, including tuition, required fees and living expenses.	Максимальный годовой бюджет: обучение, обязательные сборы и проживание.	Ең жоғары жылдық бюджет: оқу ақысы, міндетті төлемдер және тұру шығындары.
Annual budget ·	Годовой бюджет ·	Жылдық бюджет ·
Unknown	Неизвестно	Белгісіз
Each currency is compared separately. No guessed exchange rates.	Каждая валюта сравнивается отдельно. Предполагаемые курсы не используются.	Әр валюта бөлек салыстырылады. Болжамды айырбас бағамдары қолданылмайды.
My budget is a hard limit	Бюджет нельзя превышать	Бюджеттен асуға болмайды
Allow scenarios with a higher budget	Разрешить сценарии с большим бюджетом	Жоғары бюджеті бар сценарийлерге рұқсат беру
Application readiness	Готовность к подаче	Өтінім беруге дайындық
I have checked the official document lists for my shortlist, prepared transcripts / translations, and completed required supplementary forms	Я проверил(а) официальные списки документов выбранных программ, подготовил(а) выписки оценок и переводы, заполнил(а) дополнительные формы	Таңдалған бағдарламалардың ресми құжат тізімдерін тексердім, бағалар көшірмелері мен аудармаларды дайындадым және қосымша нысандарды толтырдым
For Waterloo this includes DAE and the CS Supplementary Information Form. AIF is recorded separately below. This is your declaration; PathShift does not verify or send documents.	Для Waterloo это включает DAE и дополнительную форму CS. AIF отмечается отдельно ниже. Это ваше подтверждение; PathShift не проверяет и не отправляет документы.	Waterloo үшін бұған DAE және CS қосымша ақпарат нысаны кіреді. AIF төменде бөлек белгіленеді. Бұл — сіздің мәлімдемеңіз; PathShift құжаттарды тексермейді және жібермейді.
I have submitted Waterloo’s Admission Information Form (AIF)	Я отправил(а) Admission Information Form (AIF) в Waterloo	Waterloo университетіне Admission Information Form (AIF) жібердім
Back	Назад	Артқа
Cancel	Отмена	Бас тарту
Step	Шаг	Қадам
Continue	Продолжить	Жалғастыру
Program	Программа	Бағдарлама
No country selected	Страна не выбрана	Ел таңдалмаған
Your browser could not save changes. Keep this tab open.	Браузер не смог сохранить изменения. Не закрывайте вкладку.	Браузер өзгерістерді сақтай алмады. Осы қойындыны жаппаңыз.
Demo reset to Aruzhan’s starting profile.	Восстановлен исходный демопрофиль Аружан.	Аружанның бастапқы демопрофилі қалпына келтірілді.
Enter the completed result or document declaration in your profile.	Внесите полученный результат или подтвердите готовность документов в профиле.	Алынған нәтижені енгізіңіз немесе профильде құжаттардың дайындығын растаңыз.
